# p_over_P_Cubic  fidelity_Cubic  p_over_P_DCQO  fidelity_DCQO  p_over_P_DCQO_noCD  fidelity_DCQO_noCD  p_over_P_QAOA_dCRAB  fidelity_QAOA_dCRAB  p_over_P_DC_QAOA_dCRAB  fidelity_DC_QAOA_dCRAB
9.8148148148148151e-01 3.4341976293652976e-01 9.8148148148148151e-01 6.4577762707143338e-01 6.5432098765432101e-01 2.4015361439993241e-01 6.5432098765432101e-01 3.7856297529211720e-02 9.8148148148148151e-01 9.9416053478806554e-01
1.0000000000000000e+00 3.4356616903445653e-01 1.0000000000000000e+00 6.4688477778609166e-01 6.6666666666666663e-01 2.2090763579822498e-01 6.6666666666666663e-01 2.7503034230315353e-02 1.0000000000000000e+00 9.9999258884207909e-01
nan nan nan nan 6.7901234567901236e-01 2.0432761376835593e-01 6.7901234567901236e-01 2.4319464038232881e-02 nan nan
nan nan nan nan 6.9135802469135799e-01 1.9602278030299639e-01 6.9135802469135799e-01 2.6133164056692460e-02 nan nan
nan nan nan nan 7.0370370370370372e-01 1.9136558928487865e-01 7.0370370370370372e-01 3.3860830861413296e-02 nan nan
nan nan nan nan 7.1604938271604934e-01 1.9187077344531983e-01 7.1604938271604934e-01 4.6445902965139493e-02 nan nan
nan nan nan nan 7.2839506172839508e-01 1.9452098974557597e-01 7.2839506172839508e-01 5.9228069810667180e-02 nan nan
nan nan nan nan 7.4074074074074070e-01 1.9936185394582556e-01 7.4074074074074070e-01 6.6795395873614646e-02 nan nan
nan nan nan nan 7.5308641975308643e-01 2.0455363880080499e-01 7.5308641975308643e-01 6.6044858837500164e-02 nan nan
nan nan nan nan 7.6543209876543206e-01 2.1002051371626021e-01 7.6543209876543206e-01 5.9476725518497843e-02 nan nan
nan nan nan nan 7.7777777777777779e-01 2.1315697938789030e-01 7.7777777777777779e-01 5.0097529443210595e-02 nan nan
nan nan nan nan 7.9012345679012341e-01 2.1729800416611020e-01 7.9012345679012341e-01 4.6007101685051913e-02 nan nan
nan nan nan nan 8.0246913580246915e-01 2.2423152234568580e-01 8.0246913580246915e-01 4.9172006799233822e-02 nan nan
nan nan nan nan 8.1481481481481477e-01 2.3660499396094722e-01 8.1481481481481477e-01 5.7201779393755058e-02 nan nan
nan nan nan nan 8.2716049382716050e-01 2.4989346576373853e-01 8.2716049382716050e-01 6.3649738963684088e-02 nan nan
nan nan nan nan 8.3950617283950613e-01 2.6020556406637874e-01 8.3950617283950613e-01 6.1885493659415272e-02 nan nan
nan nan nan nan 8.5185185185185186e-01 2.7172952979915332e-01 8.5185185185185186e-01 5.6649510710733264e-02 nan nan
nan nan nan nan 8.6419753086419748e-01 2.8609396630432682e-01 8.6419753086419748e-01 5.4636122076149415e-02 nan nan
nan nan nan nan 8.7654320987654322e-01 3.0021117053500612e-01 8.7654320987654322e-01 6.0427190320737845e-02 nan nan
nan nan nan nan 8.8888888888888884e-01 3.1253029450978859e-01 8.8888888888888884e-01 6.9809516562758189e-02 nan nan
nan nan nan nan 9.0123456790123457e-01 3.3441711103952254e-01 9.0123456790123457e-01 7.5527858204740422e-02 nan nan
nan nan nan nan 9.1358024691358020e-01 3.6041476031381470e-01 9.1358024691358020e-01 7.9033975699593029e-02 nan nan
nan nan nan nan 9.2592592592592593e-01 3.8300615239565111e-01 9.2592592592592593e-01 8.4997539546847661e-02 nan nan
nan nan nan nan 9.3827160493827155e-01 4.4671471161942344e-01 9.3827160493827155e-01 8.8924739935621222e-02 nan nan
nan nan nan nan 9.5061728395061729e-01 5.9688437413534445e-01 9.5061728395061729e-01 9.7431991722285394e-02 nan nan
