# p_over_P_Cubic  fidelity_Cubic  p_over_P_DCQO  fidelity_DCQO  p_over_P_DCQO_noCD  fidelity_DCQO_noCD  p_over_P_QAOA_dCRAB  fidelity_QAOA_dCRAB  p_over_P_DC_QAOA_dCRAB  fidelity_DC_QAOA_dCRAB
2.9629629629629628e-01 8.9614372601893078e-01 2.9629629629629628e-01 5.6948108072792558e-01 1.9753086419753085e-01 6.3858080574087750e-01 1.9753086419753085e-01 4.3601134437524769e-01 2.9629629629629628e-01 3.0380220582236017e-01
3.1481481481481483e-01 8.7568522840533936e-01 3.1481481481481483e-01 5.6689016091719147e-01 2.0987654320987653e-01 6.2377521854801776e-01 2.0987654320987653e-01 4.1184321531969970e-01 3.1481481481481483e-01 2.9535059016647952e-01
3.3333333333333331e-01 8.5334989097756198e-01 3.3333333333333331e-01 5.7043173791370672e-01 2.2222222222222221e-01 6.1441045002264316e-01 2.2222222222222221e-01 3.8550917324784950e-01 3.3333333333333331e-01 2.8773245776339673e-01
3.5185185185185186e-01 8.2948919854808423e-01 3.5185185185185186e-01 5.6819554776698522e-01 2.3456790123456789e-01 6.1080198530829410e-01 2.3456790123456789e-01 3.6333850084215019e-01 3.5185185185185186e-01 2.8170887820702195e-01
3.7037037037037035e-01 8.0433165652171512e-01 3.7037037037037035e-01 5.5468961186589927e-01 2.4691358024691357e-01 6.1179485030973813e-01 2.4691358024691357e-01 3.4502489896207544e-01 3.7037037037037035e-01 2.7730654921849135e-01
3.8888888888888890e-01 7.7818968832962165e-01 3.8888888888888890e-01 5.3634616804658808e-01 2.5925925925925924e-01 6.1531892975386260e-01 2.5925925925925924e-01 3.3088429678456882e-01 3.8888888888888890e-01 2.7385246202266816e-01
4.0740740740740738e-01 7.5162905623885223e-01 4.0740740740740738e-01 5.2783835144000291e-01 2.7160493827160492e-01 6.1588487287355087e-01 2.7160493827160492e-01 3.2082841535393408e-01 4.0740740740740738e-01 2.7141868584509143e-01
4.2592592592592593e-01 7.2538966893315138e-01 4.2592592592592593e-01 5.3525367480687236e-01 2.8395061728395060e-01 6.1161089270338687e-01 2.8395061728395060e-01 3.1438617841034988e-01 4.2592592592592593e-01 2.7138905822880371e-01
4.4444444444444442e-01 7.0058529378278178e-01 4.4444444444444442e-01 5.4625770615822744e-01 2.9629629629629628e-01 6.0224617599997343e-01 2.9629629629629628e-01 3.1242148107933893e-01 4.4444444444444442e-01 2.7526096631299840e-01
4.6296296296296297e-01 6.7910971201144354e-01 4.6296296296296297e-01 5.4425076355442192e-01 3.0864197530864196e-01 5.9035901016845582e-01 3.0864197530864196e-01 3.1671062408294876e-01 4.6296296296296297e-01 2.8098329919393078e-01
4.8148148148148145e-01 6.6315132563834733e-01 4.8148148148148145e-01 5.2165904736027724e-01 3.2098765432098764e-01 5.8237578231038034e-01 3.2098765432098764e-01 3.2701242115884621e-01 4.8148148148148145e-01 2.8215435382916726e-01
5.0000000000000000e-01 6.5622813488943665e-01 5.0000000000000000e-01 4.8360726826575873e-01 3.3333333333333331e-01 5.7875703553431646e-01 3.3333333333333331e-01 3.4029238344527651e-01 5.0000000000000000e-01 2.7454257682982797e-01
5.1851851851851849e-01 6.6088332969095931e-01 5.1851851851851849e-01 4.4204256276057718e-01 3.4567901234567899e-01 5.7837744751053888e-01 3.4567901234567899e-01 3.5233619259518900e-01 5.1851851851851849e-01 2.6212411320001228e-01
5.3703703703703709e-01 6.7246973563206891e-01 5.3703703703703709e-01 4.0194639350666472e-01 3.5802469135802467e-01 5.7838812183169785e-01 3.5802469135802467e-01 3.5879317844222403e-01 5.3703703703703709e-01 2.5393024680807941e-01
5.5555555555555558e-01 6.7466133131558470e-01 5.5555555555555558e-01 3.6527546424822754e-01 3.7037037037037035e-01 5.7487226590854079e-01 3.7037037037037035e-01 3.5751879572965384e-01 5.5555555555555558e-01 2.5447664740972187e-01
5.7407407407407407e-01 6.4432256452661507e-01 5.7407407407407407e-01 3.4133063142955838e-01 3.8271604938271603e-01 5.6801673776075468e-01 3.8271604938271603e-01 3.5038717882827891e-01 5.7407407407407407e-01 2.6169791279664895e-01
5.9259259259259256e-01 5.8807966902344755e-01 5.9259259259259256e-01 3.4336265922918907e-01 3.9506172839506171e-01 5.5840075677508050e-01 3.9506172839506171e-01 3.4175339449942338e-01 5.9259259259259256e-01 2.6897269589828809e-01
6.1111111111111116e-01 5.4673913383054840e-01 6.1111111111111116e-01 3.6792926168398299e-01 4.0740740740740738e-01 5.5117157492736135e-01 4.0740740740740738e-01 3.3433813519739519e-01 6.1111111111111116e-01 2.6956079006270606e-01
6.2962962962962965e-01 5.4664680360224460e-01 6.2962962962962965e-01 3.9071357090604975e-01 4.1975308641975306e-01 5.4648016416237100e-01 4.1975308641975306e-01 3.2911350769359293e-01 6.2962962962962965e-01 2.6089693063848479e-01
6.4814814814814814e-01 5.7386398343756240e-01 6.4814814814814814e-01 3.9455063087953751e-01 4.3209876543209874e-01 5.4341316019254005e-01 4.3209876543209874e-01 3.2636598878445849e-01 6.4814814814814814e-01 2.4045775008886122e-01
6.6666666666666663e-01 5.8828430542344723e-01 6.6666666666666663e-01 3.8999173560596045e-01 4.4444444444444442e-01 5.4089903157907693e-01 4.4444444444444442e-01 3.2647537074715477e-01 6.6666666666666663e-01 2.0233628194363734e-01
6.8518518518518523e-01 5.8324340837132771e-01 6.8518518518518523e-01 3.8569698190662427e-01 4.5679012345679010e-01 5.3200753697202530e-01 4.5679012345679010e-01 3.2882847833802498e-01 6.8518518518518523e-01 1.4808526312317880e-01
7.0370370370370372e-01 5.9714808287711862e-01 7.0370370370370372e-01 3.7699694667537387e-01 4.6913580246913578e-01 5.1489257583915848e-01 4.6913580246913578e-01 3.3168325769567614e-01 7.0370370370370372e-01 9.4581258072891486e-02
7.2222222222222221e-01 6.2737035766943750e-01 7.2222222222222221e-01 3.5530129197187205e-01 4.8148148148148145e-01 4.9312206371714440e-01 4.8148148148148145e-01 3.3608458735214153e-01 7.2222222222222221e-01 5.4940338253570385e-02
7.4074074074074070e-01 6.3611299268470001e-01 7.4074074074074070e-01 3.1321085457771258e-01 4.9382716049382713e-01 4.7284880456734707e-01 4.9382716049382713e-01 3.4719477410117661e-01 7.4074074074074070e-01 3.0706110292493205e-02
7.5925925925925930e-01 6.4453097672030069e-01 7.5925925925925930e-01 2.5124395611794431e-01 5.0617283950617287e-01 4.5529350166639027e-01 5.0617283950617287e-01 3.6679538935580303e-01 7.5925925925925930e-01 1.6462517616270385e-02
7.7777777777777779e-01 6.6498630796450886e-01 7.7777777777777779e-01 1.8708804625700232e-01 5.1851851851851849e-01 4.3538638714281375e-01 5.1851851851851849e-01 3.8930293872132460e-01 7.7777777777777779e-01 7.9767608189033317e-03
7.9629629629629628e-01 6.6855109314784711e-01 7.9629629629629628e-01 1.3894358637848797e-01 5.3086419753086422e-01 4.1569788411281899e-01 5.3086419753086422e-01 4.0705883653550662e-01 7.9629629629629628e-01 3.3454931250538793e-03
8.1481481481481477e-01 6.2648519758059262e-01 8.1481481481481477e-01 1.0571650543436546e-01 5.4320987654320985e-01 4.0305720910567927e-01 5.4320987654320985e-01 4.1505724127836185e-01 8.1481481481481477e-01 1.1849572928254574e-03
8.3333333333333337e-01 6.3234916715318068e-01 8.3333333333333337e-01 8.2168904478794477e-02 5.5555555555555558e-01 3.9802352416914244e-01 5.5555555555555558e-01 4.1130989575296850e-01 8.3333333333333337e-01 7.1843508003315862e-02
8.5185185185185186e-01 6.2985560035266219e-01 8.5185185185185186e-01 7.1431192561315582e-02 5.6790123456790120e-01 3.9577976425985245e-01 5.6790123456790120e-01 3.9758637557372489e-01 8.5185185185185186e-01 2.5059385098662584e-01
8.7037037037037035e-01 6.3580659248719174e-01 8.7037037037037035e-01 7.2204856964742506e-02 5.8024691358024694e-01 3.8994295151365665e-01 5.8024691358024694e-01 3.7759709591831536e-01 8.7037037037037035e-01 4.6197897165468982e-01
8.8888888888888884e-01 6.3873306340494918e-01 8.8888888888888884e-01 7.7448114343282928e-02 5.9259259259259256e-01 3.8054412331770843e-01 5.9259259259259256e-01 3.5427936960016160e-01 8.8888888888888884e-01 6.8766892332098117e-01
9.0740740740740744e-01 6.3808488953080389e-01 9.0740740740740744e-01 7.8392440201934310e-02 6.0493827160493829e-01 3.7056670450777540e-01 6.0493827160493829e-01 3.2756696609200414e-01 9.0740740740740744e-01 9.3000121950545755e-01
9.2592592592592593e-01 6.4082897848744458e-01 9.2592592592592593e-01 8.5774917532328951e-02 6.1728395061728392e-01 3.5927031130457260e-01 6.1728395061728392e-01 2.9679611139669515e-01 9.2592592592592593e-01 9.7010316946978414e-01
9.4444444444444442e-01 6.4092470934929013e-01 9.4444444444444442e-01 8.6212636933907016e-01 6.2962962962962965e-01 3.4565522647067770e-01 6.2962962962962965e-01 2.6318267913089988e-01 9.4444444444444442e-01 9.9088834067890252e-01
9.6296296296296291e-01 6.4069169449105068e-01 9.6296296296296291e-01 9.6479315218598050e-01 6.4197530864197527e-01 3.2924986633990699e-01 6.4197530864197527e-01 2.3138331927023562e-01 9.6296296296296291e-01 9.9825209714094087e-01
9.8148148148148151e-01 6.4084616947666073e-01 9.8148148148148151e-01 9.7012063172045360e-01 6.5432098765432101e-01 3.1498006106318266e-01 6.5432098765432101e-01 2.0399244709565348e-01 9.8148148148148151e-01 9.9983110098170991e-01
1.0000000000000000e+00 6.4095793928924438e-01 1.0000000000000000e+00 9.7109571089050450e-01 6.6666666666666663e-01 3.0478221463915151e-01 6.6666666666666663e-01 1.7902664219807110e-01 1.0000000000000000e+00 9.9999939455717668e-01
nan nan nan nan 6.7901234567901236e-01 2.9499699012897362e-01 6.7901234567901236e-01 1.5414715652246447e-01 nan nan
nan nan nan nan 6.9135802469135799e-01 2.8341237317062318e-01 6.9135802469135799e-01 1.2910618632622725e-01 nan nan
nan nan nan nan 7.0370370370370372e-01 2.6997414175806533e-01 7.0370370370370372e-01 1.0493662738852474e-01 nan nan
nan nan nan nan 7.1604938271604934e-01 2.5584798063851333e-01 7.1604938271604934e-01 8.2516505707467672e-02 nan nan
nan nan nan nan 7.2839506172839508e-01 2.3972367144501411e-01 7.2839506172839508e-01 6.2570714372433917e-02 nan nan
nan nan nan nan 7.4074074074074070e-01 2.1727506052912796e-01 7.4074074074074070e-01 4.5742024326501922e-02 nan nan
nan nan nan nan 7.5308641975308643e-01 1.8880657389427008e-01 7.5308641975308643e-01 3.2314035888476207e-02 nan nan
nan nan nan nan 7.6543209876543206e-01 1.5624877937561291e-01 7.6543209876543206e-01 2.2167371659073502e-02 nan nan
nan nan nan nan 7.7777777777777779e-01 1.2355442827905734e-01 7.7777777777777779e-01 1.4741451657932456e-02 nan nan
nan nan nan nan 7.9012345679012341e-01 1.9144176986447808e-01 7.9012345679012341e-01 9.3854680651446407e-03 nan nan
nan nan nan nan 8.0246913580246915e-01 1.6962626078112281e-01 8.0246913580246915e-01 5.6968442752800032e-03 nan nan
nan nan nan nan 8.1481481481481477e-01 2.3153552601637095e-01 8.1481481481481477e-01 3.3271531211592096e-03 nan nan
nan nan nan nan 8.2716049382716050e-01 2.1879284355638834e-01 8.2716049382716050e-01 9.9543154646190943e-02 nan nan
nan nan nan nan 8.3950617283950613e-01 2.1176986674100579e-01 8.3950617283950613e-01 1.0014214476279219e-01 nan nan
nan nan nan nan 8.5185185185185186e-01 2.1040366916546249e-01 8.5185185185185186e-01 1.0021099973560250e-01 nan nan
nan nan nan nan 8.6419753086419748e-01 2.0947858474509590e-01 8.6419753086419748e-01 1.9903799795293242e-01 nan nan
nan nan nan nan 8.7654320987654322e-01 3.0266363015809683e-01 8.7654320987654322e-01 2.9793327543333542e-01 nan nan
nan nan nan nan 8.8888888888888884e-01 3.0436631789221669e-01 8.8888888888888884e-01 6.8756192238826908e-01 nan nan
nan nan nan nan 9.0123456790123457e-01 4.9641829242414870e-01 9.0123456790123457e-01 8.8840599887588634e-01 nan nan
nan nan nan nan 9.1358024691358020e-01 4.9722830863395917e-01 9.1358024691358020e-01 8.9433798924437935e-01 nan nan
nan nan nan nan 9.2592592592592593e-01 6.9265398300212966e-01 9.2592592592592593e-01 9.9546054054110567e-01 nan nan
nan nan nan nan 9.3827160493827155e-01 9.8493464181602097e-01 9.3827160493827155e-01 9.9825352665148992e-01 nan nan
nan nan nan nan 9.5061728395061729e-01 9.9056379990598753e-01 9.5061728395061729e-01 9.9929552443447434e-01 nan nan
nan nan nan nan 9.6296296296296291e-01 9.9315873721926129e-01 9.6296296296296291e-01 9.9966655637961599e-01 nan nan
nan nan nan nan 9.7530864197530864e-01 9.9436441090340766e-01 9.7530864197530864e-01 9.9983865332637123e-01 nan nan
nan nan nan nan 9.8765432098765427e-01 9.9499724179124716e-01 9.8765432098765427e-01 9.9994565914288425e-01 nan nan
nan nan nan nan 1.0000000000000000e+00 9.9516111584934530e-01 1.0000000000000000e+00 9.9999541646835044e-01 nan nan
